area_fips,county,state,population,pct_uninsured_total,pct_uninsured_138_400_poverty,pct_uninsured_age_50_up,september_employment_selected_industries,total_qtrly_wages_selected_industries,september_employment_all_industries,total_qtrly_wages_all_industries,september_jobs_per_thousand_selected_industries,total_qtrly_wages_lc_selected_industries,september_employment_lq_selected_industries,total_qtrly_wages_lq_selected_industries
44001,Bristol County,Rhode Island,48900,3.5,5.8,2.6,2226,12947331,14201,145964558,157,0.09,1.26,1.4
45043,Georgetown County,South Carolina,61605,13.2,14.2,11.2,4675,25801866,24498,247983471,191,0.1,1.54,1.64
47019,Carter County,Tennessee,56391,12,11.2,12.3,1451,8780413,11629,96774420,125,0.09,1.01,1.43
47115,Marion County,Tennessee,28417,11.3,11.5,10.2,1277,5318837,7594,67444153,168,0.08,1.36,1.24
50013,Grand Isle County,Vermont,6965,5.8,7.4,5.9,281,1920604,1376,12045969,204,0.16,1.65,2.51
51119,Middlesex County,Virginia,10700,11.4,12.6,11,542,3092701,3338,29213729,162,0.11,1.31,1.67
53031,Jefferson County,Washington,30856,8.3,10.2,8.2,1237,6319854,9479,98315214,130,0.06,1.05,1.01
54009,Brooke County,West Virginia,22772,5.9,6.5,5.4,981,4642572,7695,78146705,127,0.06,1.03,0.94
54107,Wood County,West Virginia,85556,7.1,8.1,6.2,4708,19936577,35649,374176336,132,0.05,1.06,0.84
55029,Door County,Wisconsin,27439,7,8.6,5.7,3897,25360871,14907,133039867,261,0.19,2.11,3.01
55031,Douglas County,Wisconsin,43402,6.6,7.5,5.7,2436,12042571,15864,156288720,154,0.08,1.24,1.22
72049,Culebra Municipio,Puerto Rico,1314,NA,NA,NA,65,413297,448,2213203,145,0.19,1.17,2.95
72119,R�o Grande Municipio,Puerto Rico,50550,NA,NA,NA,1486,8026425,5154,28584388,288,0.28,2.32,4.43
78020,NA,NA,NA,NA,NA,NA,553,5004753,1359,13276041,407,0.38,3.28,5.95
01001,Autauga County,Alabama,55200,8.7,9.3,7.1,1619,6588599,11042,110956184,147,0.06,1.18,0.94
04007,Gila County,Arizona,53400,13.5,14.3,12.6,1996,9616551,15042,159035857,133,0.06,1.07,0.95
05015,Carroll County,Arkansas,27887,12.8,12.5,11,1839,7919355,11224,86103629,164,0.09,1.32,1.45
05019,Clark County,Arkansas,22385,7.2,7.3,5.5,1217,4258135,9469,82124036,129,0.05,1.04,0.82
05051,Garland County,Arkansas,98296,9.8,10.5,7.3,7319,38548628,37699,342989096,194,0.11,1.56,1.77
05125,Saline County,Arkansas,118009,7.5,9.2,5.7,3540,14950384,24923,221577476,142,0.07,1.14,1.06
06055,Napa County,California,140530,8.5,11.9,5.9,15235,141229112,82611,1152751443,184,0.12,1.49,1.93
06091,Sierra County,California,2930,7.8,8.9,6.9,93,521870,604,5492410,154,0.1,1.24,1.5
08015,Chaffee County,Colorado,19164,10.2,12.4,8.1,2104,15807752,8165,86150963,258,0.18,2.08,2.89
08049,Grand County,Colorado,15066,10.6,13.6,7.4,2794,23054799,7405,76989690,377,0.3,3.04,4.72
08083,Montezuma County,Colorado,25909,13.8,15.8,12.8,1197,6329521,9450,89640264,127,0.07,1.02,1.11
08113,San Miguel County,Colorado,7968,11.8,15.7,8.5,2267,19925936,5827,62618592,389,0.32,3.14,5.02
08117,Summit County,Colorado,30429,11.1,14.6,8.3,7457,67040900,20153,230526014,370,0.29,2.98,4.59
12019,Clay County,Florida,207291,11.4,12.9,11.4,8358,52779101,53758,511173818,155,0.1,1.25,1.63
12113,Santa Rosa County,Florida,170442,12.5,14.6,10,6908,37656450,40191,370843475,172,0.1,1.39,1.6
12119,Sumter County,Florida,120999,11.9,14.3,10.5,4347,22560321,31503,325899960,138,0.07,1.11,1.09
13009,Baldwin County,Georgia,45286,15.9,15.4,14.1,2224,7967604,15829,136557866,141,0.06,1.13,0.92
13023,Bleckley County,Georgia,12775,13.8,13.2,12.3,331,876218,2601,20796438,127,0.04,1.03,0.66
13031,Bulloch County,Georgia,74782,16.8,15.6,13.6,3696,13039643,25834,235453870,143,0.06,1.15,0.87
13045,Carroll County,Georgia,116022,16,16.6,13.5,5298,20593355,41713,442121016,127,0.05,1.02,0.73
13059,Clarke County,Georgia,124602,16.3,15.2,13,10271,45192013,71330,790471464,144,0.06,1.16,0.9
13077,Coweta County,Georgia,140516,12.5,15.1,10.8,5768,28581275,40920,432983042,141,0.07,1.14,1.04
13085,Dawson County,Georgia,23861,17.2,19.8,11.9,1625,7573873,9358,76558187,174,0.1,1.4,1.56
13097,Douglas County,Georgia,141840,14.2,14.9,12.6,5797,27708036,45451,459305714,128,0.06,1.03,0.95
13111,Fannin County,Georgia,24925,18.3,18.2,18.2,1331,6568255,6807,56660176,196,0.12,1.58,1.83
